,City Name,City Number,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,6170031,69.4541,69.4541,53.6,100,90,19.57
1,Avarua,4035715,-21.2078,-21.2078,71.65,94,75,4.61
2,Ribeira Grande,3372707,38.5167,38.5167,73.8,83,40,8.05
3,Busselton,2075265,-33.65,-33.65,55.04,66,44,19.44
4,Margate,2643044,51.3813,51.3813,67.8,79,85,1.99
5,Yellowknife,6185377,62.456,62.456,59.54,51,20,4.61
6,Cidreira,3466165,-30.1811,-30.1811,74.28,53,6,6.53
7,Amapá,3407762,1.0,1.0,78.67,91,49,3.15
8,Rincon,4218882,32.296,32.296,87.94,59,40,1.01
9,Tshikapa,204953,-6.4167,-6.4167,79.84,28,39,3.31
10,New Norfolk,2155415,-42.7826,-42.7826,40.78,69,74,3.0
11,Quatre Cocos,1106643,-20.2078,-20.2078,70.09,65,3,14.34
12,Lebu,3883457,-37.6167,-37.6167,51.17,89,89,4.5
13,Jamestown,5122534,42.097,42.097,81.3,63,75,4.0
14,Kapaa,5848280,22.0752,22.0752,76.91,84,75,3.0
15,Albany,5106841,42.6001,42.6001,77.67,75,94,6.62
16,Acapulco de Juárez,3533462,16.8634,16.8634,86.95,66,29,7.25
17,Northam,2641434,51.0333,51.0333,69.21,80,86,8.16
18,Yangi Marg`ilon,1513491,40.4272,40.4272,86.72,28,1,4.61
19,Butaritari,2110227,3.0707,3.0707,81.95,76,18,10.31
20,Jumla,1283285,29.2747,29.2747,65.71,98,100,1.32
21,Departamento de Maldonado,3441890,-34.6667,-34.6667,65.59,78,65,13.18
22,Dikson,1507390,73.5069,73.5069,38.34,89,54,13.18
23,Leningradskiy,2123814,69.3833,69.3833,37.62,90,100,4.63
24,Port Lincoln,2063036,-34.7333,-34.7333,55.24,86,41,17.36
25,Port Alfred,964432,-33.5906,-33.5906,61.03,49,27,11.43
26,Inongo,2315417,-1.95,-1.95,76.78,43,55,3.53
27,Cape Town,3369157,-33.9258,-33.9258,58.8,49,0,2.3
28,Punta Arenas,3874787,-53.15,-53.15,41.11,70,20,16.11
29,Hobart,2163355,-42.8794,-42.8794,41.49,73,67,1.99
30,Sechura,3691954,-5.5569,-5.5569,77.07,60,16,8.86
31,Nemuro,2128975,43.3236,43.3236,61.16,93,1,5.84
32,Ushuaia,3833367,-54.8,-54.8,35.26,93,90,26.46
33,Tiksi,2015306,71.6872,71.6872,48.0,81,83,7.23
34,Saint-Pierre,935214,-21.3393,-21.3393,69.48,78,40,10.36
35,Hilo,5855927,19.7297,19.7297,74.53,93,90,5.75
36,San Luis,3837056,-33.295,-33.295,60.85,37,0,6.22
37,Chokurdakh,2126123,70.6333,70.6333,35.15,80,2,10.04
38,Norman Wells,6089245,65.282,65.282,62.64,48,20,8.05
39,Severo-Kuril'sk,2121385,50.6789,50.6789,53.69,97,82,3.36
40,Torbay,6167817,47.6666,47.6666,57.33,93,90,10.36
41,Bredasdorp,1015776,-34.5322,-34.5322,49.32,87,100,5.75
42,Esperance,2071860,-33.8667,-33.8667,53.44,83,4,17.49
43,Sampit,1628884,-2.5333,-2.5333,71.38,96,0,2.24
44,Kiryat Gat,293842,31.61,31.61,82.76,75,0,11.56
45,Ponta do Sol,2264557,32.6667,32.6667,77.74,74,6,5.08
46,Hithadhoo,1282256,-0.6,-0.6,80.87,74,85,3.24
47,Uthal,1162862,25.8072,25.8072,83.79,80,57,11.79
48,Nelson Bay,2155562,-32.7167,-32.7167,52.68,61,10,3.0
49,San Quintín,3984997,30.4833,30.4833,68.58,82,100,6.4
50,Beringovskiy,2126710,63.05,63.05,51.33,91,98,1.83
51,Tiznit Province,2527087,29.5833,29.5833,85.82,32,0,8.16
52,Saskylakh,2017155,71.9167,71.9167,52.66,82,40,7.96
53,Sistranda,3139597,63.7256,63.7256,57.16,87,55,9.13
54,Ambunti,2100933,-4.2365,-4.2365,69.22,100,69,1.41
55,Tual,1623197,-5.6667,-5.6667,79.86,79,98,19.13
56,Avera,4231997,33.194,33.194,87.96,50,93,3.49
57,Atuona,4020109,-9.8,-9.8,77.38,72,52,23.67
58,Rikitea,4030556,-23.1203,-23.1203,70.34,65,97,3.91
59,Saint George,5546220,37.1041,37.1041,88.29,45,10,1.99
60,Mataura,6201424,-46.1927,-46.1927,47.48,88,100,4.59
61,Bengkulu,1649150,-3.8004,-3.8004,75.49,90,2,4.83
62,Thompson,6165406,55.7435,55.7435,57.36,54,75,11.5
63,Bluff,2206939,-46.6,-46.6,47.8,82,100,5.91
64,Kavieng,2094342,-2.5744,-2.5744,81.05,76,53,1.05
65,Ternate,1624041,0.8,0.8,80.73,80,100,7.29
66,Provideniya,4031574,64.3833,64.3833,46.71,99,100,6.67
67,Longyearbyen,2729907,78.2186,78.2186,44.44,87,75,10.36
68,Qaanaaq,3831208,77.484,77.484,40.23,70,88,5.48
69,Bathsheba,3374083,13.2167,13.2167,88.41,74,75,18.41
70,Marzuq,72181,14.4,14.4,74.17,77,23,9.75
71,Kirakira,2178753,-10.4544,-10.4544,78.28,84,75,6.51
72,Carutapera,3402648,-1.195,-1.195,87.06,54,75,8.39
